Price for 2,Dining Rating,Dining Rating Count,Location,Cuisine
1200,4.2,649,Citadines,"Chinese,  North Indian,  Italian,  Mexican"
650,3.9,646,Perungudi,"Biryani,  North Indian,  Chinese"
3500,4.4,678,"Taj Fishermans Cove Resort & Spa, Kanchipuram District","Seafood,  South Indian,  Andhra,  Kerala"
1100,4.4,700,Neelangarai,"Continental,  Parsi,  Biryani,  Iranian"
1000,4.5,692,Foodies Kitchen,"Thai,  Asian"
700,,Does not offer Dining,Nungambakkam,"Biryani,  North Indian,  Mughlai"
2800,4.1,596,"Courtyard by Marriott, Teynampet","North Indian,  Italian,  Continental,  South Indian,  Chinese,  Momos"
1500,4.3,633,Anna Nagar East,"Asian,  Chinese,  Thai,  Japanese,  Sushi"
600,4.1,551,Nungambakkam,"Andhra,  Hyderabadi,  South Indian"
1200,4.5,358,Vadapalani,Japanese
600,3.9,637,Velachery,"Desserts,  Burger,  Beverages"
300,4,366,Thousand Lights,"Chinese,  Biryani,  North Indian"
2000,4.5,432,"Hotel Rajpark, Alwarpet","Continental,  Finger Food,  Seafood,  Fast Food"
750,3.7,502,GST Road,"Biryani,  North Indian,  BBQ,  Mughlai,  Beverages"
350,3.9,128,Medavakkam,"Momos,  Steak,  Burger"
500,3.8,566,Chromepet,"Chinese,  North Indian,  South Indian,  Chettinad,  Fast Food"
750,3,766,St. Thomas Mount,"North Indian,  Chinese,  Seafood"
400,4.1,434,Egmore,"Desserts,  Fast Food"
1500,4.2,458,Alwarpet,"Italian,  Salad,  North Indian,  Beverages"
1000,4.1,417,Adyar,"Cafe,  American,  Continental,  Italian,  Asian"
1300,4.1,627,RK Salai (Cathedral Road),"Continental,  European,  Chinese,  Seafood"
900,4.3,533,Anna Nagar East,"Chinese,  Asian"
250,4.4,640,Perungudi,Bengali
4500,4.6,629,"ITC Grand Chola, Guindy","North Indian,  Mughlai"
1500,4.3,558,Nungambakkam,"European,  Continental,  North Indian"
400,4.1,621,Gopalapuram,"Mithai,  Sandwich,  Street Food,  Ice Cream,  Beverages"
800,4,645,Akkarai,"North Indian,  Chinese,  Biryani,  Seafood,  South Indian,  Desserts,  Beverages"
450,,Does not offer Dining,Porur,"Fast Food,  North Indian,  Biryani,  Rolls"
200,3.8,631,Mylapore,South Indian
2500,4.5,610,"The Leela Palace, MRC Nagar","North Indian,  Asian,  Mediterranean,  Continental,  Italian"
300,4.2,644,Adambakkam,"Biryani,  Fast Food,  BBQ"
450,3.7,438,T. Nagar,"North Indian,  Chinese,  Biryani,  Rolls"
650,3.9,557,Anna Nagar West,"Chettinad,  South Indian,  North Indian,  Fast Food"
500,2.7,599,Perungudi,"Chinese,  Chettinad"
800,3.9,626,Nungambakkam,"Continental,  Italian"
700,4.4,586,Ekkaduthangal,"Arabian,  BBQ,  Seafood,  Chinese,  Continental,  Thai"
1200,4.3,619,Mylapore,"North Indian,  Continental,  Mexican,  Chinese,  Beverages,  European,  Italian"
800,3.4,625,Nungambakkam,"Asian,  Chinese,  Momos"
400,4.3,588,Anna Nagar East,"Fast Food,  Sandwich,  Burger,  Beverages"
800,3.7,475,Gopalapuram,"Andhra,  North Indian,  Chinese,  Beverages"
200,4.9,534,Adyar,Ice Cream
4000,4.2,638,"Radisson Blu, GST Road","Kebab,  Mughlai,  Biryani"
400,,Does not offer Dining,Taramani,"North Indian,  Chinese,  Biryani"
300,4.1,379,Choolaimedu,"Naga,  Chinese"
600,4,382,Perungudi,"North Indian,  Chinese"
650,3.9,531,Pallavaram,"Chinese,  North Indian"
600,4.4,581,Adyar,"Kerala,  Chinese,  North Indian"
